농장,화방번호,날짜,개화수,착과수,수확수,개당무게,총무게,초장,잎길이,잎폭,잎수
정택준,5,11,1.40 ,18.90 ,0.00 ,0.00 ,0.00 ,186.95 ,30.31 ,28.45 ,9.07 
정택준,5,12,0.10 ,23.10 ,0.00 ,0.00 ,0.00 ,183.97 ,29.81 ,28.41 ,8.36 
정택준,5,13,0.00 ,19.30 ,0.00 ,0.00 ,0.00 ,189.02 ,28.92 ,27.41 ,7.97 
정택준,5,14,0.00 ,19.00 ,0.90 ,2.00 ,9.07 ,186.90 ,29.34 ,27.23 ,8.58 
정택준,5,15,0.00 ,17.00 ,1.40 ,2.92 ,13.75 ,192.25 ,29.28 ,27.32 ,8.17 
정택준,5,16,0.00 ,14.50 ,2.10 ,3.23 ,18.06 ,190.07 ,27.96 ,28.01 ,8.35 
정택준,5,17,0.00 ,9.90 ,3.10 ,4.17 ,23.33 ,195.73 ,29.81 ,28.06 ,8.42 
정택준,5,18,0.00 ,6.00 ,1.20 ,2.66 ,10.43 ,193.40 ,29.79 ,28.05 ,8.26 
정택준,6,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,90.10 ,30.68 ,31.21 ,8.10 
정택준,6,2,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,99.73 ,34.54 ,35.41 ,9.64 
정택준,6,3,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,109.18 ,33.26 ,35.65 ,9.48 
정택준,6,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,126.10 ,30.46 ,29.12 ,11.62 
정택준,6,5,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,138.25 ,28.22 ,28.20 ,9.51 
정택준,6,6,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,154.63 ,26.14 ,24.75 ,12.79 
정택준,6,7,0.20 ,0.00 ,0.00 ,0.00 ,0.00 ,169.57 ,25.80 ,22.79 ,13.40 
정택준,6,8,1.70 ,0.00 ,0.00 ,0.00 ,0.00 ,184.60 ,27.12 ,25.25 ,13.56 
정택준,6,9,3.80 ,0.90 ,0.00 ,0.00 ,0.00 ,194.95 ,25.62 ,20.51 ,16.98 
정택준,6,10,4.10 ,5.60 ,0.00 ,0.00 ,0.00 ,194.50 ,27.94 ,25.07 ,8.14 
정택준,6,11,4.00 ,10.40 ,0.00 ,0.00 ,0.00 ,186.95 ,30.31 ,28.45 ,9.07 
정택준,6,12,0.40 ,13.40 ,0.00 ,0.00 ,0.00 ,183.97 ,29.81 ,28.41 ,8.36 
정택준,6,13,0.00 ,13.30 ,0.00 ,0.00 ,0.00 ,189.02 ,28.92 ,27.41 ,7.97 
정택준,6,14,0.00 ,11.90 ,0.00 ,0.00 ,0.00 ,186.90 ,29.34 ,27.23 ,8.58 
정택준,6,15,0.00 ,14.60 ,0.70 ,2.19 ,7.78 ,192.25 ,29.28 ,27.32 ,8.17 
정택준,6,16,0.00 ,14.40 ,1.50 ,2.71 ,13.31 ,190.07 ,27.96 ,28.01 ,8.35 
정택준,6,17,0.00 ,10.80 ,2.30 ,3.77 ,20.44 ,195.73 ,29.81 ,28.06 ,8.42 
정택준,6,18,0.00 ,4.80 ,1.40 ,3.83 ,13.99 ,193.40 ,29.79 ,28.05 ,8.26 
정택준,7,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,90.10 ,30.68 ,31.21 ,8.10 
정택준,7,2,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,99.73 ,34.54 ,35.41 ,9.64 
정택준,7,3,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,109.18 ,33.26 ,35.65 ,9.48 
정택준,7,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,126.10 ,30.46 ,29.12 ,11.62 
정택준,7,5,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,138.25 ,28.22 ,28.20 ,9.51 
정택준,7,6,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,154.63 ,26.14 ,24.75 ,12.79 
정택준,7,7,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,169.57 ,25.80 ,22.79 ,13.40 
정택준,7,8,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,184.60 ,27.12 ,25.25 ,13.56 
정택준,7,9,0.60 ,0.00 ,0.00 ,0.00 ,0.00 ,194.95 ,25.62 ,20.51 ,16.98 
정택준,7,10,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,194.50 ,27.94 ,25.07 ,8.14 
정택준,7,11,3.50 ,2.80 ,0.00 ,0.00 ,0.00 ,186.95 ,30.31 ,28.45 ,9.07 
정택준,7,12,3.40 ,6.10 ,0.00 ,0.00 ,0.00 ,183.97 ,29.81 ,28.41 ,8.36 
정택준,7,13,1.10 ,6.40 ,0.00 ,0.00 ,0.00 ,189.02 ,28.92 ,27.41 ,7.97 
정택준,7,14,0.00 ,7.90 ,0.00 ,0.00 ,0.00 ,186.90 ,29.34 ,27.23 ,8.58 
정택준,7,15,0.00 ,8.00 ,0.00 ,0.00 ,0.00 ,192.25 ,29.28 ,27.32 ,8.17 
정택준,7,16,0.00 ,9.10 ,0.60 ,0.95 ,5.70 ,190.07 ,27.96 ,28.01 ,8.35 
정택준,7,17,0.00 ,7.20 ,1.20 ,3.26 ,9.90 ,195.73 ,29.81 ,28.06 ,8.42 
정택준,7,18,0.00 ,5.50 ,0.70 ,0.75 ,5.26 ,193.40 ,29.79 ,28.05 ,8.26 
정택준,8,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,90.10 ,30.68 ,31.21 ,8.10 
정택준,8,2,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,99.73 ,34.54 ,35.41 ,9.64 
정택준,8,3,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,109.18 ,33.26 ,35.65 ,9.48 
정택준,8,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,126.10 ,30.46 ,29.12 ,11.62 
정택준,8,5,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,138.25 ,28.22 ,28.20 ,9.51 
정택준,8,6,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,154.63 ,26.14 ,24.75 ,12.79 
정택준,8,7,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,169.57 ,25.80 ,22.79 ,13.40 
정택준,8,8,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,184.60 ,27.12 ,25.25 ,13.56 
정택준,8,9,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,194.95 ,25.62 ,20.51 ,16.98 
정택준,8,10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,194.50 ,27.94 ,25.07 ,8.14 
정택준,8,11,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,186.95 ,30.31 ,28.45 ,9.07 
정택준,8,12,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,183.97 ,29.81 ,28.41 ,8.36 
정택준,8,13,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,189.02 ,28.92 ,27.41 ,7.97 
정택준,8,14,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,186.90 ,29.34 ,27.23 ,8.58 
정택준,8,15,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,192.25 ,29.28 ,27.32 ,8.17 
정택준,8,16,0.00 ,1.10 ,0.00 ,0.00 ,0.00 ,190.07 ,27.96 ,28.01 ,8.35 
정택준,8,17,0.00 ,1.10 ,0.40 ,0.68 ,2.71 ,195.73 ,29.81 ,28.06 ,8.42 
정택준,8,18,0.00 ,0.10 ,0.00 ,0.00 ,0.00 ,193.40 ,29.79 ,28.05 ,8.26 
차근배,1,1,0.80 ,0.00 ,0.00 ,0.00 ,0.00 ,145.30 ,40.70 ,34.70 ,14.70 
차근배,1,2,4.20 ,0.00 ,0.00 ,0.00 ,0.00 ,168.00 ,34.70 ,28.70 ,12.70 
차근배,1,3,5.20 ,4.00 ,0.00 ,0.00 ,0.00 ,181.30 ,35.00 ,23.80 ,15.30 
차근배,1,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,208.70 ,39.00 ,30.30 ,16.00 
차근배,1,5,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,225.30 ,39.70 ,30.30 ,16.30 
차근배,1,6,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,247.00 ,36.00 ,29.50 ,19.00 
차근배,1,7,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,270.00 ,36.00 ,26.30 ,12.30 
차근배,1,8,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,293.70 ,35.80 ,24.20 ,16.70 
차근배,1,9,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.30 ,37.00 ,26.50 ,11.30 
차근배,1,10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.30 ,34.80 ,26.30 ,15.00 
차근배,1,11,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.30 ,36.30 ,28.20 ,13.00 
차근배,1,12,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.30 ,37.30 ,31.00 ,14.70 
차근배,1,13,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.30 ,37.30 ,31.30 ,10.00 
차근배,1,14,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.30 ,37.30 ,29.30 ,16.70 
차근배,1,15,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.30 ,34.30 ,31.00 ,18.00 
차근배,1,16,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.30 ,35.00 ,32.20 ,17.30 
차근배,1,17,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.30 ,36.30 ,34.00 ,9.00 
차근배,1,18,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.30 ,33.30 ,27.50 ,9.00 
차근배,1,19,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.30 ,34.70 ,30.30 ,9.00 
차근배,1,20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.30 ,38.00 ,33.70 ,9.00 
차근배,1,21,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.30 ,39.00 ,35.00 ,5.30 
차근배,2,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,145.30 ,40.70 ,34.70 ,14.70 
차근배,2,2,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,168.00 ,34.70 ,28.70 ,12.70 
차근배,2,3,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,181.30 ,35.00 ,23.80 ,15.30 
차근배,2,4,3.20 ,8.60 ,0.00 ,0.00 ,0.00 ,208.70 ,39.00 ,30.30 ,16.00 
차근배,2,5,2.60 ,11.80 ,0.00 ,0.00 ,0.00 ,225.30 ,39.70 ,30.30 ,16.30 
차근배,2,6,3.20 ,13.80 ,0.00 ,0.00 ,0.00 ,247.00 ,36.00 ,29.50 ,19.00 
차근배,2,7,1.80 ,16.00 ,0.00 ,0.00 ,0.00 ,270.00 ,36.00 ,26.30 ,12.30 
차근배,2,8,0.60 ,19.40 ,0.00 ,0.00 ,0.00 ,293.70 ,35.80 ,24.20 ,16.70 
차근배,2,9,0.20 ,19.60 ,0.00 ,0.00 ,0.00 ,313.30 ,37.00 ,26.50 ,11.30 
차근배,2,10,0.00 ,16.00 ,0.00 ,0.00 ,0.00 ,313.30 ,34.80 ,26.30 ,15.00 
차근배,2,11,0.00 ,16.00 ,0.00 ,0.00 ,0.00 ,313.30 ,36.30 ,28.20 ,13.00 
차근배,2,12,0.00 ,16.60 ,0.00 ,0.00 ,0.00 ,313.30 ,37.30 ,31.00 ,14.70 
차근배,2,13,0.00 ,16.60 ,0.00 ,0.00 ,0.00 ,313.30 ,37.30 ,31.30 ,10.00 
차근배,2,14,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.30 ,37.30 ,29.30 ,16.70 
차근배,2,15,0.00 ,9.20 ,4.20 ,10.22 ,51.44 ,313.30 ,34.30 ,31.00 ,18.00 
차근배,2,16,0.00 ,3.80 ,2.80 ,5.15 ,23.20 ,313.30 ,35.00 ,32.20 ,17.30 
차근배,2,17,0.00 ,1.40 ,1.40 ,5.11 ,11.94 ,313.30 ,36.30 ,34.00 ,9.00 
차근배,2,18,0.00 ,1.20 ,0.40 ,1.05 ,2.10 ,313.30 ,33.30 ,27.50 ,9.00 
차근배,2,19,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.30 ,34.70 ,30.30 ,9.00 
차근배,2,20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.30 ,38.00 ,33.70 ,9.00 
차근배,2,21,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.30 ,39.00 ,35.00 ,5.30 
차근배,3,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,145.30 ,40.70 ,34.70 ,14.70 
차근배,3,2,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,168.00 ,34.70 ,28.70 ,12.70 
차근배,3,3,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,181.30 ,35.00 ,23.80 ,15.30 
차근배,3,4,3.40 ,1.60 ,0.00 ,0.00 ,0.00 ,208.70 ,39.00 ,30.30 ,16.00 
차근배,3,5,3.20 ,5.60 ,0.00 ,0.00 ,0.00 ,225.30 ,39.70 ,30.30 ,16.30 
차근배,3,6,4.20 ,8.00 ,0.00 ,0.00 ,0.00 ,247.00 ,36.00 ,29.50 ,19.00 
차근배,3,7,2.40 ,11.20 ,0.00 ,0.00 ,0.00 ,270.00 ,36.00 ,26.30 ,12.30 
차근배,3,8,2.00 ,13.00 ,0.00 ,0.00 ,0.00 ,293.70 ,35.80 ,24.20 ,16.70 
차근배,3,9,0.80 ,15.00 ,0.00 ,0.00 ,0.00 ,313.30 ,37.00 ,26.50 ,11.30 
차근배,3,10,1.00 ,16.20 ,0.00 ,0.00 ,0.00 ,313.30 ,34.80 ,26.30 ,15.00 
차근배,3,11,0.00 ,16.20 ,0.00 ,0.00 ,0.00 ,313.30 ,36.30 ,28.20 ,13.00 
차근배,3,12,0.00 ,17.00 ,0.00 ,0.00 ,0.00 ,313.30 ,37.30 ,31.00 ,14.70 
차근배,3,13,0.00 ,17.60 ,0.00 ,0.00 ,0.00 ,313.30 ,37.30 ,31.30 ,10.00 
차근배,3,14,0.00 ,10.00 ,0.00 ,0.00 ,0.00 ,313.30 ,37.30 ,29.30 ,16.70 
차근배,3,15,0.00 ,11.20 ,3.60 ,10.96 ,47.88 ,313.30 ,34.30 ,31.00 ,18.00 
차근배,3,16,0.00 ,7.40 ,2.00 ,6.33 ,21.44 ,313.30 ,35.00 ,32.20 ,17.30 
차근배,3,17,0.00 ,3.40 ,2.60 ,5.66 ,24.20 ,313.30 ,36.30 ,34.00 ,9.00 
차근배,3,18,0.00 ,2.20 ,1.60 ,4.89 ,13.02 ,313.30 ,33.30 ,27.50 ,9.00 
차근배,3,19,0.00 ,1.20 ,0.20 ,1.08 ,1.08 ,313.30 ,34.70 ,30.30 ,9.00 
차근배,3,20,0.00 ,0.00 ,1.00 ,1.38 ,6.90 ,313.30 ,38.00 ,33.70 ,9.00 
차근배,3,21,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.30 ,39.00 ,35.00 ,5.30 
차근배,4,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,145.30 ,40.70 ,34.70 ,14.70 
차근배,4,2,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,168.00 ,34.70 ,28.70 ,12.70 
차근배,4,3,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,181.30 ,35.00 ,23.80 ,15.30 
차근배,4,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,208.70 ,39.00 ,30.30 ,16.00 
차근배,4,5,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,225.30 ,39.70 ,30.30 ,16.30 
차근배,4,6,3.80 ,1.60 ,0.00 ,0.00 ,0.00 ,247.00 ,36.00 ,29.50 ,19.00 
차근배,4,7,3.40 ,6.20 ,0.00 ,0.00 ,0.00 ,270.00 ,36.00 ,26.30 ,12.30 
차근배,4,8,3.80 ,8.80 ,0.00 ,0.00 ,0.00 ,293.70 ,35.80 ,24.20 ,16.70 
차근배,4,9,2.00 ,12.20 ,0.00 ,0.00 ,0.00 ,313.30 ,37.00 ,26.50 ,11.30 
차근배,4,10,2.40 ,15.80 ,0.00 ,0.00 ,0.00 ,313.30 ,34.80 ,26.30 ,15.00 
차근배,4,11,0.80 ,17.00 ,0.00 ,0.00 ,0.00 ,313.30 ,36.30 ,28.20 ,13.00 
차근배,4,12,0.00 ,18.40 ,0.00 ,0.00 ,0.00 ,313.30 ,37.30 ,31.00 ,14.70 
차근배,4,13,0.00 ,18.40 ,0.00 ,0.00 ,0.00 ,313.30 ,37.30 ,31.30 ,10.00 
차근배,4,14,0.00 ,21.80 ,0.00 ,0.00 ,0.00 ,313.30 ,37.30 ,29.30 ,16.70 
차근배,4,15,0.00 ,17.40 ,3.80 ,13.06 ,51.08 ,313.30 ,34.30 ,31.00 ,18.00 
차근배,4,16,0.00 ,14.00 ,3.20 ,12.01 ,38.22 ,313.30 ,35.00 ,32.20 ,17.30 
차근배,4,17,0.00 ,10.00 ,2.40 ,11.37 ,25.88 ,313.30 ,36.30 ,34.00 ,9.00 
차근배,4,18,0.00 ,6.20 ,2.00 ,9.10 ,18.44 ,313.30 ,33.30 ,27.50 ,9.00 
차근배,4,19,0.00 ,4.00 ,1.20 ,4.51 ,8.70 ,313.30 ,34.70 ,30.30 ,9.00 
차근배,4,20,0.00 ,0.60 ,0.60 ,1.05 ,3.16 ,313.30 ,38.00 ,33.70 ,9.00 
차근배,4,21,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.30 ,39.00 ,35.00 ,5.30 
차근배,5,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,145.30 ,40.70 ,34.70 ,14.70 
차근배,5,2,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,168.00 ,34.70 ,28.70 ,12.70 
차근배,5,3,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,181.30 ,35.00 ,23.80 ,15.30 
차근배,5,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,208.70 ,39.00 ,30.30 ,16.00 
차근배,5,5,1.80 ,0.00 ,0.00 ,0.00 ,0.00 ,225.30 ,39.70 ,30.30 ,16.30 
차근배,5,6,4.40 ,1.60 ,0.00 ,0.00 ,0.00 ,247.00 ,36.00 ,29.50 ,19.00 
차근배,5,7,3.80 ,6.20 ,0.00 ,0.00 ,0.00 ,270.00 ,36.00 ,26.30 ,12.30 
차근배,5,8,5.00 ,10.80 ,0.00 ,0.00 ,0.00 ,293.70 ,35.80 ,24.20 ,16.70 
차근배,5,9,2.60 ,16.80 ,0.00 ,0.00 ,0.00 ,313.30 ,37.00 ,26.50 ,11.30 
차근배,5,10,3.60 ,19.80 ,0.00 ,0.00 ,0.00 ,313.30 ,34.80 ,26.30 ,15.00 
차근배,5,11,2.60 ,21.00 ,0.00 ,0.00 ,0.00 ,313.30 ,36.30 ,28.20 ,13.00 
차근배,5,12,0.00 ,25.00 ,0.00 ,0.00 ,0.00 ,313.30 ,37.30 ,31.00 ,14.70 
차근배,5,13,0.00 ,27.40 ,0.00 ,0.00 ,0.00 ,313.30 ,37.30 ,31.30 ,10.00 
차근배,5,14,0.00 ,17.80 ,0.00 ,0.00 ,0.00 ,313.30 ,37.30 ,29.30 ,16.70 
차근배,5,15,0.00 ,30.60 ,3.80 ,11.40 ,51.24 ,313.30 ,34.30 ,31.00 ,18.00 
차근배,5,16,0.00 ,21.80 ,5.40 ,11.78 ,61.92 ,313.30 ,35.00 ,32.20 ,17.30 
차근배,5,17,0.00 ,19.60 ,4.20 ,10.68 ,43.18 ,313.30 ,36.30 ,34.00 ,9.00 
차근배,5,18,0.00 ,13.20 ,3.40 ,10.02 ,33.28 ,313.30 ,33.30 ,27.50 ,9.00 
차근배,5,19,0.00 ,9.60 ,3.40 ,7.84 ,25.74 ,313.30 ,34.70 ,30.30 ,9.00 
차근배,5,20,0.00 ,3.20 ,1.80 ,4.30 ,12.38 ,313.30 ,38.00 ,33.70 ,9.00 
차근배,5,21,0.00 ,1.60 ,1.20 ,5.85 ,8.42 ,313.30 ,39.00 ,35.00 ,5.30 
조정숙,1,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,192.00 ,47.20 ,45.20 ,8.40 
조정숙,1,2,0.16 ,0.00 ,0.00 ,0.00 ,0.00 ,209.20 ,43.60 ,43.00 ,5.00 
조정숙,1,3,0.26 ,0.11 ,0.00 ,0.00 ,0.00 ,216.40 ,40.80 ,43.20 ,6.20 
조정숙,1,4,0.42 ,0.32 ,0.00 ,0.00 ,0.00 ,235.80 ,40.50 ,42.20 ,9.80 
조정숙,1,5,0.63 ,0.68 ,0.00 ,0.00 ,0.00 ,249.60 ,41.60 ,43.00 ,10.40 
조정숙,1,6,1.05 ,0.84 ,0.00 ,0.00 ,0.00 ,267.60 ,40.20 ,38.60 ,11.00 
조정숙,1,7,0.63 ,1.95 ,0.00 ,0.00 ,0.00 ,291.60 ,38.40 ,39.40 ,6.40 
조정숙,1,8,0.63 ,2.37 ,0.00 ,0.00 ,0.00 ,325.40 ,37.50 ,33.10 ,8.40 
조정숙,1,9,0.79 ,2.68 ,0.00 ,0.00 ,0.00 ,346.60 ,33.80 ,29.90 ,7.60 
조정숙,1,10,0.63 ,3.42 ,0.00 ,0.00 ,0.00 ,369.60 ,32.80 ,27.40 ,6.80 
조정숙,1,11,0.53 ,4.37 ,0.00 ,0.00 ,0.00 ,389.80 ,35.40 ,35.00 ,7.60 
조정숙,1,12,0.32 ,4.53 ,0.00 ,0.00 ,0.00 ,409.80 ,35.60 ,33.00 ,4.40 
조정숙,1,13,0.53 ,4.95 ,0.00 ,0.00 ,0.00 ,439.00 ,34.00 ,31.00 ,9.00 
조정숙,1,14,0.58 ,5.11 ,0.00 ,0.00 ,0.00 ,409.80 ,33.60 ,30.20 ,8.20 
조정숙,1,15,0.95 ,6.32 ,0.00 ,0.00 ,0.00 ,409.80 ,33.80 ,32.60 ,9.60 
조정숙,1,16,0.47 ,5.89 ,0.00 ,0.00 ,0.00 ,439.20 ,34.40 ,34.20 ,5.60 
조정숙,1,17,0.74 ,5.68 ,0.00 ,0.00 ,0.00 ,497.00 ,31.50 ,25.00 ,11.00 
조정숙,1,18,0.21 ,6.21 ,0.00 ,0.00 ,0.00 ,503.80 ,31.20 ,26.40 ,12.20 
조정숙,1,19,0.26 ,6.26 ,0.68 ,1.70 ,11.10 ,503.80 ,32.60 ,28.80 ,11.60 
조정숙,1,20,0.21 ,5.47 ,0.47 ,2.02 ,6.21 ,503.80 ,35.20 ,33.00 ,12.00 
조정숙,1,21,0.42 ,5.00 ,0.32 ,1.86 ,3.75 ,503.80 ,36.60 ,34.20 ,11.00 
조정숙,1,22,0.47 ,4.89 ,0.63 ,1.15 ,6.88 ,503.80 ,36.00 ,34.00 ,10.20 
조정숙,1,23,0.47 ,5.21 ,0.74 ,2.22 ,8.07 ,503.80 ,36.00 ,34.40 ,10.20 
조정숙,2,1,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,192.00 ,47.20 ,45.20 ,8.40 
조정숙,2,2,0.16 ,0.00 ,0.00 ,0.00 ,0.00 ,209.20 ,43.60 ,43.00 ,5.00 
조정숙,2,3,0.26 ,0.11 ,0.00 ,0.00 ,0.00 ,216.40 ,40.80 ,43.20 ,6.20 
조정숙,2,4,0.42 ,0.32 ,0.00 ,0.00 ,0.00 ,235.80 ,40.50 ,42.20 ,9.80 
조정숙,2,5,0.63 ,0.68 ,0.00 ,0.00 ,0.00 ,249.60 ,41.60 ,43.00 ,10.40 
조정숙,2,6,1.05 ,0.84 ,0.00 ,0.00 ,0.00 ,267.60 ,40.20 ,38.60 ,11.00 
조정숙,2,7,0.63 ,1.95 ,0.00 ,0.00 ,0.00 ,291.60 ,38.40 ,39.40 ,6.40 
조정숙,2,8,0.63 ,2.37 ,0.00 ,0.00 ,0.00 ,325.40 ,37.50 ,33.10 ,8.40 
조정숙,2,9,0.79 ,2.68 ,0.00 ,0.00 ,0.00 ,346.60 ,33.80 ,29.90 ,7.60 
조정숙,2,10,0.63 ,3.42 ,0.00 ,0.00 ,0.00 ,369.60 ,32.80 ,27.40 ,6.80 
조정숙,2,11,0.53 ,4.37 ,0.00 ,0.00 ,0.00 ,389.80 ,35.40 ,35.00 ,7.60 
